order_id,product_name,category,price,quantity,city,date_added,rating,customer_email
ORD-0096,Sneakers ,sports,"247,53",5.0,LOS ANGELES,28/09/2023,3.6,customer96@example.com
ORD-0016, Swimming Goggles,CLOTHING,161.53,47.0,LA,2024-05-27,3.0,customer16@example.com
ORD-0031, Running Shoes,electronics,206.54,34.0,Los Angeles,28/02/2023,15.0,customer31@example.com
ORD-0159, Yoga Block,electronics,,29.0,Chi,12/05/2024,2.8,customer159@example.com
ORD-0129,Garden Hose  ,Toys,$65.6,35.0,chicago,27/06/2024,,customer129@example.com
ORD-0116,T-Shirt  ,SPORTS,"220,02",42.0,NEW YORK,03/12/2023,2.5,customer116@example.com
ORD-0070,  Data Science Book,CLOTHING,"22,35",21.0,los angeles,10-04-2024,2.4,customer70@example.com
ORD-0171,Wireless Mouse,SPORTS,303.17,21.0,New York ,03/26/2024,2.9,customer171@example.com
ORD-0175, Desk Lamp,electronics,160.43 USD,46.0,NEW YORK,2024-05-31,1.2,customer175@example.com
ORD-0046,  Notebook,books,"305,9",15.0,los angeles,16-04-2024,2.2,customer46@example.com
ORD-0067,Football,Toys,190.69,35.0,PHOENIX,"August 14, 2023",1.9,customer67@example.com
ORD-0154, Puzzle,Books,44.64 USD,37.0,LOS ANGELES,15/03/2024,4.9,customer154@example.com
ORD-0166,Garden Hose  ,CLOTHING,281.46,30.0,chicago,"April 01, 2023",4.4,customer166@example.com
ORD-0079,  Jeans,TOYS,165.38,38.0,LA,2023-11-27,4.3,customer79@example.com
ORD-0025,Shovel ,Toys,146.83,4.0,NY,"March 04, 2023",3.9,customer25@example.com
ORD-0178,Football,sports,91.94,,New York ,12/08/2023,3.3,customer178@example.com
ORD-0057,Monitor Stand,sports,$82.5,10.0,New York,2023-02-17,4.9,customer57@example.com
ORD-0153,Shovel ,Clothing,,10.0,houston,08/18/2023,2.4,customer153@example.com
ORD-0083,Coffee Maker,home & garden,"253,43",36.0,LOS ANGELES,"December 08, 2024",3.6,customer83@example.com
ORD-0069, Yoga Block,Electronics,317.89,37.0,New York,"March 27, 2023",1.5,customer69@example.com
ORD-0125,Sneakers ,,342.39,26.0,LA,09/01/2023,4.5,customer125@example.com
ORD-0017,  Notebook,sports,295.38,39.0,los angeles,06-06-2023,4.1,customer17@example.com
ORD-0149, Puzzle,Home & Garden,$153.37,27.0,Chicago,"April 09, 2024",2.7,customer149@example.com
ORD-0094, Running Shoes,Clothing,$331.92,,los angeles,09/28/2023,1.6,customer94@example.com
ORD-0066,Standing Desk,Electronics,300.57,25.0,houston,07-01-2023,2.2,customer66@example.com
ORD-0061, Puzzle,SPORTS,"332,76",40.0,,12/03/2024,2.8,customer61@example.com
ORD-0085,Standing Desk,Books,168.27,23.0,Chi,17-07-2024,2.4,customer85@example.com
ORD-0068, Swimming Goggles,TOYS,15.01 USD,43.0,CHICAGO,"June 19, 2023",4.7,customer68@example.com
ORD-0126, Running Shoes,TOYS,292.33 USD,50.0,LOS ANGELES,13-09-2024,1.9,customer126@example.com
ORD-0133, Rake,Clothing,"237,82",2.0,PHOENIX,28-07-2024,4.7,customer133@example.com
ORD-0010, Running Shoes,home & garden,,26.0,LA,2023-03-09,4.7,customer10@example.com
ORD-0019,Monitor Stand,ELECTRONICS,"34,55",5.0,Phoenix,2023-05-09,3.6,customer19@example.com
ORD-0056,Water Bottle,ELECTRONICS,102.91,9999.0,PHOENIX,12/10/2023,4.3,customer56@example.com
ORD-0076,Monitor Stand,,245.53 USD,44.0,PHOENIX,04/05/2023,4.1,customer76@example.com
ORD-0151,Coffee Maker,ELECTRONICS,154.0,48.0,chicago,14/05/2023,1.2,customer151@example.com
ORD-0105,  Wireless Headphones  ,toys,$147.57,34.0,chicago,"September 29, 2024",3.5,customer105@example.com
ORD-0136,  Data Science Book,Books,236.32,45.0,Phoenix,05/03/2024,,customer136@example.com
ORD-0138,Keyboard ,toys,$158.42,24.0,NY,03-12-2024,3.2,customer138@example.com
ORD-0165,Garden Hose  ,Toys,202.82,41.0,Chi,10/24/2023,2.6,customer165@example.com
ORD-0077,Shovel ,Toys,233.22,33.0,Chicago,"January 13, 2023",4.3,customer77@example.com
ORD-0080,,Sports,$309.16,49.0,,06/08/2024,3.7,customer80@example.com
ORD-0126, Running Shoes,TOYS,292.33 USD,50.0,LOS ANGELES,13-09-2024,1.9,customer126@example.com
ORD-0039,Keyboard ,SPORTS,75.24,17.0,HOUSTON,15-05-2024,4.6,customer39@example.com
ORD-0025,Shovel ,Toys,146.83,4.0,NY,"March 04, 2023",3.9,customer25@example.com
ORD-0123,Standing Desk,sports,"225,43",45.0,LA,12-04-2024,1.8,customer123@example.com
ORD-0017,  Notebook,sports,295.38,39.0,los angeles,06-06-2023,4.1,customer17@example.com
ORD-0030, Cookbook,clothing,$70.51,4.0,phoenix,07/09/2024,4.0,customer30@example.com
ORD-0020, Puzzle,,96.44,28.0,los angeles,2024-07-06,3.9,customer20@example.com
ORD-0144,Yoga Mat  ,TOYS,159.65 USD,33.0,phoenix,"April 22, 2023",3.0,customer144@example.com
ORD-0087,  Backpack,Home & Garden,,18.0,phoenix,21/06/2024,2.1,customer87@example.com
ORD-0115,Python Book  ,Clothing,"186,45",1.0,,2024-02-24,1.3,customer115@example.com
ORD-0174,  Data Science Book,electronics,160.16,,los angeles,,2.9,customer174@example.com
ORD-0006,Sneakers ,Books,9999.99,5.0,new york,2024-11-08,4.1,customer6@example.com
ORD-0127,Smart Watch,Sports,238.83,50.0,New York ,10/05/2024,4.6,customer127@example.com
ORD-0118,Coffee Maker,Toys,342.53,46.0,NY,2024-03-30,3.8,customer118@example.com
ORD-0074,T-Shirt  ,Books,62.89,48.0,NY,17-06-2023,1.4,customer74@example.com
ORD-0141, Puzzle,Home & Garden,$207.3,22.0,New York ,09/02/2024,2.1,customer141@example.com
ORD-0099,  Basketball,Sports,"177,66",29.0,NEW YORK,09/04/2024,4.6,customer99@example.com
ORD-0173, Running Shoes,Books,291.94,42.0,NEW YORK,21/09/2024,3.0,customer173@example.com
